Time,E1_C,E2_C,E3_C,E4_C,E5_C,E6_C,E7_C,off_R1_C,off_R2_C,off_R3_C,off_R4_C,on_R1_C,on_R2_C,on_R3_C,on_R4_C,on_R5_C,on_R6_C
3260,13,22,4,16,4,0,0,0,0,0,0,0,0,0,0,0,0
3270,4,17,9,19,13,7,0,0,0,0,0,0,0,0,0,0,0
3280,9,10,11,20,16,7,0,0,0,0,0,0,0,0,0,0,0
3290,7,6,0,13,18,14,0,0,0,0,0,0,0,0,0,0,0
3300,2,6,0,0,15,11,0,0,0,0,0,4,0,0,0,0,0
3310,0,4,0,0,1,16,0,0,0,0,0,9,1,1,0,0,0
3320,0,0,14,0,0,10,0,0,0,0,0,3,2,0,2,1,0
3330,0,0,24,0,0,0,0,0,0,0,0,1,1,0,1,0,1
3340,15,0,20,0,0,0,0,0,0,0,0,0,2,0,0,1,0
3350,21,3,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1
3360,14,20,2,16,4,0,0,0,0,0,0,0,0,0,0,0,1
3370,10,18,5,17,14,7,0,0,0,0,0,0,0,0,0,0,0
3380,6,10,16,20,17,6,0,0,0,0,0,0,0,0,0,0,0
3390,7,11,0,15,17,15,0,0,0,0,0,0,0,0,0,0,0
3400,4,10,0,7,16,14,0,0,0,0,0,4,0,0,0,0,0
3410,0,3,0,2,10,16,0,0,0,0,0,5,1,1,0,0,0
3420,0,0,10,0,0,11,0,0,0,0,0,3,0,0,3,3,0
3430,0,0,18,0,0,2,0,0,0,0,0,1,0,0,0,1,2
3440,10,0,20,0,0,0,0,0,0,0,0,0,1,0,1,0,2
3450,22,9,12,0,0,0,0,0,0,0,0,0,0,0,1,2,0
3460,15,18,2,14,7,0,0,0,0,0,0,0,0,0,0,0,1
3470,5,18,7,18,8,6,0,0,0,0,0,0,0,0,0,0,0
3480,7,10,13,19,15,3,0,0,0,0,0,0,0,0,0,0,0
3490,4,6,1,15,16,13,0,0,0,0,0,0,0,0,0,0,0
3500,2,8,0,5,17,12,0,0,0,0,0,2,0,0,0,0,0
3510,0,2,0,0,6,16,0,0,0,0,0,8,1,0,0,0,0
3520,0,0,5,0,1,8,0,0,0,0,0,3,1,0,4,2,0
3530,0,0,19,0,0,2,0,0,0,0,0,4,1,0,3,3,2
3540,10,0,22,0,0,0,0,0,0,0,0,1,1,0,1,0,1
3550,21,3,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3560,12,16,2,12,6,0,0,0,0,0,0,0,0,0,0,0,0
3570,6,17,5,19,8,5,0,0,0,0,0,0,0,0,0,0,0
3580,7,9,18,15,14,3,0,0,0,0,0,0,0,0,0,0,0
3590,2,7,12,19,17,11,0,0,0,0,0,0,0,0,0,0,0
3600,4,3,0,14,16,13,0,0,0,0,0,2,0,0,0,0,0
